Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Bot,Python-urllib/3.9,320x240,Headless Chrome,es-ES,Generic CPU/GPU,Repeated,,Same Hash,Randomized,,Burst Mode,Detected,No Movement,"[0.5, 0.6, 0.6]",Full Scroll Immediately,Constant Pressure,"[0.4, 0.5, 0.2]","[0.3, 0.2, 0.3]",No Breaks,No Errors,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1536x864,Android,de-DE,"Intel Core i7, NVIDIA GeForce GTX 1660",Uinque,"Flash, PDF Viewer, Widevine CDM",,UTC+3,10.0.x.x,75 Mbps,Not Detected,"Smooth, Curved Movements","[0.8, 1.7, 0.6]",Varies Depending on Content,,"[3.8, 4.3, .30]",,Bursts of Activity,Varied Typing Speed,Hover Flickers
Human,,1600x900,Windows 10,es-ES,,Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+3,192.168.x.x,20 Mpbs,Not Detected,Erratic,"[0.8, 0.9, 1.4]",Multiple Scrolls,Varied Pressure Levels,"[1.73, 3.39, 4.63]","[44.1, 22.9, 38.3]",Bursst of Activity,Varied Tyipng Speed,Hesitant
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1280x800,Android,,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,172.16.x.x,20 Mbps,Not Detected,"Smooht, Curved Movements","[1.6, 1.8, 0.7]",Partial Scroll,Varied Pressure Levels,"[4.4, 4.6, 4.4]","[47.3, 24.5, 26.2]",Bursts of Activity,Occasional Errors,Jittery Moveemnts
Bot,Python-urllib/3.9,640x480,Unknown,en-US,Generic CPU/GPU,Repeated,,Same Hash,No Timezone Info,Datacenter IP,High Speed,Detected,No Movement,"[0.4, 0.5, 0.4]",No Scroll,No Touch Data,"[0.1, 0.2, 0.5]","[0.4, 0.7, 0.2]",Continuous Activity,No Errors,Precise Placement
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1600x900,iOS,de-DE,"Apple M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM",,UTC+3,192.168.x.x,50 Mbps,Not Detected,Hovering,"[2.4, 2.8, 1.9] ???",Multiple Scrolls,Slightly Hrad Press,"[3.3, 4.,2 3.7]","[32.29, 20.11, 14.81]",Bursts of Activity,Occasional Errors,Hover Flickers
Bot,curl/7.64.1,800x600,Linux,fr-FR,EmulatedG PU,Repeated,,Same Hash,UTC+0,Datacenter IP,High Speed,Detected,Predictable Paths,"[0.4, 0.6, 0.6]",Full Scroll Immediately,Constant Pressure,,"[0.4, 1.0, 0.4]",Continuous Activity RANDOM_TEXT,Constant Typing Speed,
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,2560x1440,macOS,fr-FR,,Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+8,172.16.x.x,100 Mbps,Not Detected,Hovering,"[2.8, 0.7, 1.4]",,Light Tap,"[2.0, 3.1, 2.6]","[21.36, 15.76, 54.26]",Pause After Action,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1366x768,iOS,en-US,"Intel Core i9, NVIDIA RTX 3070",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1 $$$,172.16.x.x,20 Mbps,Not Detected,,,Varies Depending on Content,Slightly Hard Press,"[2.3, 2.4, 4.7]","[58.2, 59.7, 53.0]",Periodic Inactivity,Varied Typing Speed,Small Adjustments
Bot,Python-urllib/3.9,320x240,Headless Chrome,en-GB,Generic CPU/GPU,Repeated,Basic Pluigns,Same Hash,No Timezone Info,IPv6 Tunnel,Burst Mode,Detected,No Movement,"[0.54, 0.35, 0.54]",No Scroll,Emulated Pressure,"[0.3, 0.4, 0.4]","[0.3, 0.9, 0.8]",Timed Triggers,Perfect Rhythm,Snaps to Target
Bot,curl/7.64.1,1280x800,Unknown Unix,es-ES,Emulated GPU RANDOM_TEXT,Repeated,No Plugins Detected,Same Hash,UTC+0,IPv6 Tunnel,Unrealistic Speed,Detected,Linear Movements,"[0.6, 0.5, 0.6]",Full Scroll Immediately,,"[0.4, 0.4, 0.3]","[0.5, 0.1, 0.5]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),,,de-DE,Virtual CPU,Repeated,Basic Plugins,Same Hash,Spoofed,Spoofed IP !@#,High Speed,Detected,N oMovement,"[0.5, 0.4, 0.6]",No Scroll,Emulated Pressure,"[0.1, 0.4, 0.4]","[0.3, 0.7, 0.2]",No Breaks,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1170x2532,Android,es-ES,"Intel Core i9, NVIDIA RTX 3070",Unique,"PDF Viewer, Shockwave Flash $$$",Unique Hash,UTC+8,10.0.x.x,200 Mbps,Not Detected,Occasional Pauses,"[1.4, 2.2, 1.1]",Slow Scroll,Varied Pressure Levels,"[3.2, 3.3, 4.4]","[34.2, 16.4, 22.1]",Periodic Inactivity,Occasional Errors,Hesitant
Bot,curl/7.64.1,640x480,Unknown,fr-FR,No GPU Info,,,SameH ash,Randomized,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.4, 0.6]",Instant Scroll,Constant Pressure,"[0.5, 0.2, 0.1]",,Timed Triggers,No Errors,Precise Placement
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1170x2532,Linux,es-ES,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,172.16.x.x,100 Mbps,Not Detected,,"[2.7, 3.0, 1.1]",Partial Scroll,Light Tap,"[4.2, 2.6, 5.0]","[12.7, 19.3, 47.6]",Periodic Inactivity,,Jittery Movements
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,fr-FR,Unknown,Repeated,No Plugins Detected,Same Hash,,Proxy/VPN IP,Burst Mode,Detected,Too Precise $$$,,Instant Scroll,Emulated Pressure,"[0.2, 0.2, 0.2]","[0.8, 0.7, 0.6]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),9999x9999,Headless Chrome,es-ES,Emulated GPU,Repeated,Basic Plugins,Same Hash,Spoofed,IPv6 Tunnel,Unrealistic Speed,Detected,No Movement,"[0.6, 0.4, 0.5]",Full Scroll Immediately,No Touch Data,"[0.5, 0.5, 0.1]","[0.7, 0.8, 0.6]",No Breaks,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1536x864,macOS,fr-FR,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UT+C8,10.0.x.x,100 Mbps,oNt Detected,Erratic,"[2.4, 0.5, 1.1]",PartialS croll,Slightly Hard Press,"[4.1, 4.5, 3.5]","[23.3, 25.1, 36.9]",Bursts of Activity,Varied TypingS peed,Small Adjustments
Bot,Python-urllib/3.9,,Unknown,en-US,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,Too Precise,"[0.6, 0.5, 0.5]",No Scroll,No Touch Data,"[04., 0.2, 0.3]","[0.4, 1.0, 0.8]",Continuous Activity,No Errors,No Jitter
Bot,Scrapy/2.4.1 (+https://scrapy.org),1024x768,Linux,en-US,Unknown,Repeated,,Same Hash,Randomized,IPv6 Tunnel,High Speed,Detected !@#,Linear Movements,"[0.6, 0.5, 0.5]",Instant Scroll,No Touch Data,"[0.2, 0.4, 0.3]","[0.8, 0.7, 0.8] ???",Timed Triggers,No Errors,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,,Linux,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-5,172.16.x.x,200 Mbps,Not Detected,"Smooth, Curved Movements","[1.4, 1.6, 1.3]",Varies Depending on Content,Light Tap,"[3.52, 5.0, 2.48]","[33.8, 23.0, 35.8]",Pause After Action,Occasional Errors,Hestiant
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1366x768,Linux,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,,Unique Hash,,10.0.x.x,,Not Detected,Occasional Pauses,"[1.6, 0.6, 1.9]",Varies Depending on Content,Varied Pressure Levels,"[4.6, 3.9, 2.0]","[54.4, 25.4, 11.5]",Bursts of Activity,Varied Typing Speed,oHver Flickers
Bot,culr/7.64.1,1280x800,Unknown Unix,de-DE,Virtula CPU,Repeated,Emulated Flash !@#,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,Linear Movements,"[0.4, 0.5, 0.5]",No Scroll,No Touch Data,"[0.2, 0.4, 0.4]",,Continuous Activity,Constant Typing Spede,Snaps to Target
Bot,Java/1.8.0_281,1024x768,,fr-FR,Generic CPU/GPU,Repeated,Emulated Flash,,Spoofed,Spoofed IP,Burst Mode,Detected,Linear Movements,"[0.5, 0.4, 0.5]",Instant Scroll,No Touch Data,"[0.2, 0.4, 0.2]","[0.8, 0.4, 0.8]",No Breaks,No Errors,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1440x900,amcOS,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-7,172.16.x.x,100 Mbps,Not Detected,Erratic,"[3.0, 1.8, 2.2]",Multiple Scrolls,Light Tap,"[4.6, 2.1, 2.7]","[54.9, 19.3, 48.0]",Pause After Action,Varied Typing Speed,Jittery Movements
Bot,Java/1.8.0_281,640x480,Headless Chrome,en-GB,Virtual CPU,Repeated,Emulated Flash,Same Hash,Randomized,Proxy/VPN IP,Unrealistic Speed,Detected,Predictable Paths,"[0.6, 0.5, 0.6]",Full Scroll Immediately,No Touch Data,"[0.1, 0.3, 0.1]","[1.0, .06, 0.7]",Timed Triggers,,Snaps to Target
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1280x720,Adnroid,en-US,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+1,192.16.8x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[2.5, 1.4, 2.7]",,Slightly Hard Press,"[4.8, 1.2, 1.0]","[17.1, 55.2, 41.4]",Bursts of Activity,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1440x900,,fr-FR,"Apple M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,,10.0.x.x,200 Mbps,Not Detected,Erratic,"[1.5, 2.4, 0.8]",Varies Depending on Content,Slightly Hard Press,"[2.5, 1.9, 2.7]","[56.9, 13.7, 15.3]",Periodic Inactivity,Occasional Errors,Small Adjustments
Bot,HeadlessChrome/88.0.4324.96,9999x9999,Linux,en-GB ???,No GPU Info,Repeated,No Plugins Detected,Same Hash,Randomized,,Low Latency Bot,Detected,Linear Movements,"[0.5, 0.5, 0.5]",No Scroll,Emulated Pressure,"[0.4, 0.2, 0.5]","[0.1, 1.0, 0.8]",Continuous Activity,No Errors,Precise Placement
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,828x1792,iOS,en-US,"Intel Core i9, NVIDIA RTX 3070",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+3,10.0.x.x,50 Mbps,Not Detected,Erratic,"[2.9, 1.2, 0.8]",,Varied Pressure Levels,"[2.2, 3.1, 2.3]","[17.5, 34.3, 18.0]",Periodic Inactivity,Occasional Errors,Hseitant
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1440x900,Linux,e-sES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+1,10.0.x.x,50 Mbps,Not Detected,Hovering,"[1.2, 1.5, 2.7]",Slow Scroll,,"[3.6, 3.7, 1.8]","[58.2, 47.1, 58.1]",Bursts of Activity,Varied Typing Speed,Jittery Movements
Human,,1920x1080,Android $$$,en-GB,"Apple M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5 !@#,172.16.x.x,200 Mbps,Not Detected,Occasional Pauses,"[0.6, 1.5, 2.9]",Slow Scroll,,,"[37.2, 23.6, 34.7]",Pause After Action,Varied Typing Speed,Hover Flickers
Bot,Java/1.8.0_281 ???,300x300,,es-ES,Unknown,Repeated,,Same Hash,No Timezone Info,Datacenter IP,Low Latency Bot,Detected,Too Precise,"[0.5, 0.6, 0.5]",Jump to Bottom,Emulated Pressure,"[0.5, 0.1, 0.2]","[0.55, 0.68, 0.8]",No Breaks,Constant Typing Speed,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),9999x9999,Custom OS,fr-FR,Virtual CPU,Repeated,Basic Plugins,Same Hash,,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.6, 0.6, 0.6]",Instant Scroll,No Touch Data,"[0.4, 0.2, 0.5]","[0.2, 0.2, 0.4]",Continuous Activity,No Errors,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1600x900,Android,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,10.0.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[0.9, 1.5, 0.6]",Varies Depending on Content,Slightly Hard Press,"[2.9, 4.6, 2.2]","[46.8, 47.2, 28.9]",Periodic Inactivity,Occasional Errors,Jittery Movements
Bot,Python-urllib/3.9,1280x800,Unknown,fr-FR,Unknown,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Datacenter IP,Low Latency Bot,Detected,Too Precise,"[0.6, 0.5, 0.6]",Full Scroll Immediately,Emulated Pressure,"[0.5, 0.3, 0.5]","[0.9, 0.1, 0.3]",Continuous Activity,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1440x900,Windows 10,es-ES,"Apple M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM !@#",Unique Hash,UTC+1,192.168.x.x,75 Mbps,Not Detected,,"[2.4, 2.0, 2.4]",Partial Scroll,Natural Touch,"[1.1, 3.5, 3.6]","[21.1, 39.2, 22.1]",Pause After Action,Occasional Errors,Hesitant
Bot,Python-urllib/3.9,1280x800,Unknown Unix,es-ES,Unknown,Repeated,Emulated Flash,Same Hash,Spoofed,Datacenter IP,High Speed,Detected,No Movement,"[0.5, 0.6 ,0.5]",No Scroll,No Touch Data,"[0.3, 0.2, 0.4]","[0.1, 0.4, 0.8]",Timed Triggers,No Errors,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1280x800,Linux,es-ES,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,10.0.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[1.3, 1.6, 2.0]",Partial Scroll RANDOM_TEXT,Light Tap,"[2.8, 1.51, 4.05]","[40.6, 20.3, 15.7]",Burtss of Activity,Varied Typing Speed,Small Adjustments
Bot,Scrapy/2.4.1 (+https://scrapy.org),800x600,Unknown,de-DE,Generic CPU/GPU ###,Repeated,,Same Hash,No Timezone Info,Datacenter IP,,Detected,Too Precise,"[0.5, 0.5, 0.5]",Full Scroll Immediately,Emulated Pressure,"[0.1, 0.3, 0.3]","[0.3, 0.4, 0.9]",,Constant yTping Speed,Precise Placement
Bot,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1280x720,Windows 10,es-ES,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-5,192.168.x.x,50 Mbps,Not Detected,Occasional Pauses,"[1.5, 2.1, 0.6]",Slow Scroll,Slightly Hard Press,"[2.2, 2.0, 2.6]","[49.0, 46.5, 46.9]",Pause After Action,Varied Typing Speed,Jittery Movements
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,828x1792,Android,fr-FR,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,172.16.x.x,50 Mbps,Not Detecetd,Erratic,"[1.7, 2.1, 1.6]",Partial Scroll,Light Tap,"[2.7, 1.7, 2.0]","[49.6, 40.5, 24.08]",Pause After Action,Occasional Errors,Hover Flickers
Bot,,,Unknown Unix,f-rFR,No GPU Info,Repeated,No Plugins Detected,Same Hash,No Timezone Info,IPv6 Tunnel,Burst Mode,Detected,Too Precise,"[0.4, 0.5, 0.4]",Instant Scroll,Same Pressure,"[0.5, 0.3, 0.4]","[0.4, 0.7, 0.3]",Continuous Activity,No Errors,Snaps to Target
Bot,Java/1.8.0_281,1024x768,Linux,esE-S,Virtual CPU,Repeated,Basic Plugins,Same Hash,UTC+0,Proxy/VPN IP,Low Latency Bot RANDOM_TEXT,Detected,No Movement,"[0.5, 0.6, 0.4]",Full Scroll Immediately,Emulated Pressure,"[0.26, 0.31, 0.29]","[0.4, 0.9, 0.9]",,No Errors,No Jitter
Bot,curl/7.64.1,1280x800,Headless Chrome,en-GB,No GPU Info,Repeated,Basic Plugins,Same Hash,No Timezone Info,Datacenter IP,Unrealistic Speed,,No Movement,"[0.4, 0.6, 0.6]",No Scroll,Constant Pressure,"[0.2, 0.2, 0.2]","[0.3, 0.5, 0.9]",Timed Triggers,No Errors,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,2560x1440,Windows 11,fr-FR,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,10.0.x.x,100 Mbps,Not Detected,Hovering,"[1.1, 2.0, 0.9]",Multiple Scrolls,Light Tap,"[2.1, 2.3, 4.1]","[52.2, 30.9, 21.8]",Pause After Action,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1440x900,macOS,,"Apple M1, Integrated GPU !@#",Unique !@#,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,192.168.x.x,75 Mbps,Not Detected,"Smooth, Curved Movements","[2.5, 2.8, 1.4]",Varies Depending on Content,Light Tap,"[2.0, 2.0, 3.3]","[43.9, 50.8, 39.0]",Periodic Inactivity,Varied Typing Speed,Hover Flickers
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,Unknown,en-US,Emulated GPU,Repeated,No Plugins Detected,Same Hash,No Timezone Info RANDOM_TEXT,Spoofed IP,High Speed,,Predictable Paths,"[0.5, 0.6, 0.6]",No Scroll,Same Pressure,"[0.2, 0.4, 0.3]","[0.2, 0.5, 0.6]",Timed Triggers,No Errors,No Jitter
Bot,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1920x1080,iOS,,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"PDF Viewer, Shockwave Flash",,UTC+3,10.0.x.x,100 Mbps,Not Detected,Erratic,"[1.7, .22, 2.8]",Varies Depending on Content,Light Tap,"[4.0, 2.8, 2.3]","[52.7, 42.5, 16.7]",Periodic Inactivity,Varied Typing Speed,Jittery Movements
Bot,Scrapy/2.4.1 (+https://scrapy.org),9999x9999,Unknown,de-DE,,Repeated,No Plugins Detected,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,Predictable Paths,"[0.5, 0.5, 0.6] !@#",Jump to Bottom,No Touch Data,"[0.1, 0.3, 0.2]","[0.7, 0.6, 0.1]",Continuous Activity,No Errors,No Jitter
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1600x900,Android,en-GB,"Intel Core i9, NVIDIA RTX 3070",,"WebGL Plugni, DRM Plugin",Unique Hash,UTC+1,10.0.x.x,75 Mbps,Not Detected,Occasional Pauses,"[2.0, 2.0 ,2.3]",Varies Depending on Content,Varied Pressure Levels,"[1.0, 2.8, 3.8]","[48.1, 49.3, 51.0]",Periodic Inactivity,Occasional Errors,Hesitant
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),800x600,Linux,en-US,Emulated GPU,Repeated,Basic Plugins,Same Hash,,Proxy/VPN IP,Burst Mode,Detected,No Movement,"[0.4, 0.5, 0.5]",Jump to Bottom,Emulated Pressure,"[0.2, 0.2, 0.3]","[0.1, 0.9, 0.2]",No Breaks,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1536x864,Android,es-ES,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+1,172.16.x.x,75 Mbps,Not Detected,Occasional Pauses,"[2.0, 2.3, 1.7]",Varies Depending on Content,Natural Touch,"[4.5, 4.0, 4.4]","[38.6, 28.9, 33.9]",Pause After Action,Occasional Errors,Hover Flickers
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1024x768,Custom OS,es-ES,Unknown,Repeated,Emulated Flash,Same Hash,UTC+0,Datacenter IP,Low Latency Bot,Detected,No Movement,"[0.6, 0.5, 0.6]",Instant Scroll,Emulated Pressure,"[0.5, 0.4, 0.4]","[0.8, 0.3, 0.1]",No Breaks,No Errors,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),800x600,Custom OS,en-US,Virtual CPU,Repeated,,Same Hash,UTC+0,Proxy/VPN IP,Burst Mode,Detected,Linear Movements,"[0.6, 0.5, 0.5]",Instant Scroll,Constant Pressure,"[0.1, 0.4, 0.3]","[0.5, 0.6, 0.8]",Continuous Activity,No Errors,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1366x768,Android,de-DE,"Intel Core i5, Intel Iris Xe",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,172.16.x.x,50 Mbps,Not Detected,Erratic $$$,"[3.0, 0.9, 2.8]",Varies Depending on Content,Varied Pressure Levels,"[3.0, 2.6, 2.5]","[26.6, 30.4, 35.1]",Periodic Inactivity,Natural Pauses,Jittery Movements
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1170x2532,macOS,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,10.0.x.x,100 Mbps,Not Detected,Erratic,,Multiple Scrolls,Light Tap,"[3.8, 1.6, 4.9]","[38.7, 44.9, 50.0]",Periodic Inactivity,Occasional Errors,Small Adjustments
Bot,Java/1.8.0_281,800x060,Unknown,en-US,Generci CPU/GPU,Repeated,Emulated Flash,Same Hash,Spoofed,IPv6 Tunnel,High Speed,Detected,Predictable Paths,"[0.5, 0.4, 0.5]",Full Scroll Immediately,Constant Pressure,"[0.2, 0.3, 0.2]","[0.2, 0.3, 0.9]",Timed Triggers,No Errors,No Jitter
Bot,Python-urllib/3.9,1280x800,Headless Chrome,en-GB,Unknown,Repeated,,Same Hash,Randomized RANDOM_TEXT,Datacenter IP,Low Latency Bot,Detected,,"[0.52, 0.48, 0.41]",Full Scroll Immediately,Same Pressure,"[0.2, 0.4, 0.3]","[0.3, 0.7, 0.8]",Continuous Activity,Perfect Rhythm,No Jitter
Bot,curl/7.64.1,320x240,iLnux,en-GB,No GPU Info,Repeated,Emulated Flash,,Randomized,Spoofed IP,Low Latency Bot,Detected,Too Precise,"[0.5, 0.6, 0.4]",Jump to Bottom,Constant Pressure,"[0.2, 0.4, 0.4]","[0.7, 0.1, 1.0]",Continuous Activity,Perfect Rhythm,No Jitter
Bot,Java/1.8.0_281,300x300,Unknown,de-DE,Generic CPU/GPU,Repeated,Basic Plugins,Same Hash,Spoofed,IPv6 Tunnel,Burst Mode,Detected,No Movement,"[0.5, 0.5, 0.5]",Instant Scroll,Same Pressure,"[0.1, 0.2, 0.5]","[0.7, 0.9, 0.1]",No Breaks,Constant Typing Speed,No Jitter
Bot,HeadlessChrome/88.0.4324.96,1024x768,Linux,fr-FR,Generic CPU/GPU RANDOM_TEXT,Repeated,Basic Plugins,Same Hash,Spoofed,Datacenter IP,High Speed,Detected,Too Precise,"[0.4 ,0.4, 0.6]",Full Scroll Immediately,Emulated Pressure,"[0.3, 0.4, 0.4]","[0.4, 0.3, 0.6]",Timed Triggers,No Errors,No Jitter
Human,Mozilla/5.0 (iPhone; CPUi Phone OS 14_6 like Mac OS X) Safari/604.1,2560x1440,Android,en-GB,"Intel Core i9, NVIDIA RTX 3070",Unique,,Unique Hash,UTC+3,10.0.x.x,20 Mbps,Not Detected,"Smooth, Curved Movements","[0.8, 1.4, 2.9]",Partial Scroll,Light Tap,"[2.6, 2.2, 2.4]","[54.74, 27.14, 21.68]",Periodic Inactivity,Occasional Errors,Jittery Movements
Bot,HeadlessChrome/88.0.4324.96,320x240,Linux,en-US,Emulated GPU,Repeated,No Plugins Detected,Same Hash,Spoofed,IPv6 Tunnel,Low Latency Bot,Detected,Too Precise,"[0.4, 0.4, 0.4]",Jump to oBttom,Same Pressure,"[0.4, 0.5, 0.4]","[0.5, 1.0, 0.3]",No Breaks,No Errors,Precise Placement
Bot,HeadlessChrome/88.0.4324.96,1280x800,Custom OS,es-ES,Virtual CPU,Repeated,,Same Hash,Spoofed,IPv6 Tunnel,Unrealistic Speed,Detected,Too Prceise,"[0.5, 0.4, 0.5]",Full Scroll Immediately,No Touch Data $$$,"[0.5, 0.4, 0.4]","[0.6, 0.2, 0.2]",Timed Triggers,No Errors,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),6404x80,Headless Chrome,fr-FR,Unknown,Repeated,No Plugins Detected,Same Hash,No Timezone Info,Proxy/VPN IP,Low Latency Bot,Detected ###,Predictable Paths,"[0.5, 0.4, 0.5]",,Emulated Pressure,"[0.4, 0.2, 0.5]","[0.6, 0.3, 1.0]",No Breaks,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1920x1080,macOS,de-DE,,Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,172.16.x.x,75 Mbps,Not Detected,Occasional Pauses,"[1.5, 1.1, 2.5]",Slow Scroll,Natural Touch,"[4.6, 2.,5 2.4]","[53.1, 43.9, 59.7]",Periodic Inactivity,Varied Typing Speed,Hesitant
